REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
IG2352P,IG2352P:DDA Rejected,41861,4266,8,1,ORIGINATING_ACCOUNT_NO,Text,0,44,45,1,1,RptDetailLine001,AAAAAAA9AAA-9999999999                         999999999A9AAA99999A AAAAAAA9AAA-999999999999                       A999999999 A99999999 AA9999999999                        AAAAAAAA   AAAAAA        *
IG2401P,IG2401P:In-House GIRO Accepted Batch Listing,19134,3020,7,6,ORIGINATING_ACCOUNT_NO,Text,34,57,24,1,1,RptTitleLine002,AA   : AAAAAAAAAAA AAAAAAA AA.:         999-999999-999        AAAAAA :    99999      AAAA :  AAAA A9 AAAAAAAA AAA  AAAAA AAAA: A   AAAAAAA AA: AAA                                                    *
IG2403P,IG2403P:In-House GIRO Processed Rejected Batch,19136,3035,9,6,ORIGINATING_ACCOUNT_NO,Text,32,50,19,1,1,RptHeader003,AA   : AAAAAAAAAAA AAAAAAA AA.: 999-999999-999              AAAAAA :    99999           AAAA : AAA AAA AAAAAA AAAA   AAAAA AAAA: A   AAAAAAA AA: AAA                                                 *
IG2404P,IG2404P:In House Giro Processed Rejected Items,19304,3023,7,6,ORIGINATING_ACCOUNT_NO,Text,32,50,19,1,1,RptHeader002,AA   : AAAAAAAAAAA AAAAAAA AA.: 999-999999-999              AAAAAA :    99999           AAAA : AAAA A9 AAAAAAAA AAA  AAAAA AAAA: A   AAAAAAA AA: AAA           *
IG2404P,IG2404P:In House Giro Processed Rejected Items,19304,3023,11,2,RECEIVING_BRH_ACCOUNT,Text,12,29,18,1,1,RptDetails001,        9   999-9999999AA                        99.99  99  AAAA  AAAAAA AAAAAA         AAAAAAAAAA9A                                                           *
IG2408P,IG2408P:INHOUSE GIRO INVALID DEBIT TRANS,33274,3056,9,1,RECEIVING_ACCOUNT_NO,Text,0,13,14,1,1,RptDetailsLine001,999-999999-999  AAAAAAAA9                          999.99  9999-999-999999-999  AAAAAAAA AAA AAA      A  99 AAAA                           AAAAAA999               *
IG2503P,IG2503P:,45945,8142,7,1,DATASET,Text,1,21,21,1,1,RptDetailLine001," AAAA AAAAA               9/99/9999     *AAAAAAA        A                9,999                                                      *"
IG2503P,IG2503P:,45945,8142,7,4,SOUCRE_ID,Text,40,54,15,1,1,RptDetailLine001," AAAA AAAAA               9/99/9999     *AAAAAAA        A                9,999                                                      *"
IG2503P,IG2503P:,45945,8142,7,5,SEGMENT,Text,56,57,2,1,1,RptDetailLine001," AAAA AAAAA               9/99/9999     *AAAAAAA        A                9,999                                                      *"
IN9073AP,IN9073AP,5655,8454,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
